date,gdp,real_gdp
2010-01-31,72358.0,77554.12647374062
2010-02-28,72358.0,76086.22502628813
2010-03-31,72358.0,75451.51199165797
2010-04-30,85181.66666666667,89009.05607802159
2010-05-31,85181.66666666667,89570.62740974415
2010-06-30,85181.66666666667,89948.96163322774
2010-07-31,100148.66666666667,105977.42504409171
2010-08-31,100148.66666666667,104758.01952580195
2010-09-30,100148.66666666667,101777.10027100271
2010-10-31,102093.66666666667,103229.18773171554
2010-11-30,102093.66666666667,102917.00268817206
2010-12-31,102093.66666666667,102093.66666666667
2011-01-31,86197.0,85343.56435643564
2011-02-28,86197.0,84589.79391560353
2011-03-31,86197.0,83443.3688286544
2011-04-30,103425.66666666667,98782.87169691181
2011-05-31,103425.66666666667,98033.80726698262
2011-06-30,103425.66666666667,97663.51904312243
2011-07-31,122829.33333333333,117427.660930529
2011-08-31,122829.33333333333,117991.67467178995
2011-09-30,122829.33333333333,117878.43889955213
2011-10-31,120878.33333333333,116006.07805502239
2011-11-30,120878.33333333333,115783.8441890166
2011-12-31,120878.33333333333,115562.46016571065
2012-01-31,97441.33333333333,92978.37150127227
2012-02-29,97441.33333333333,92801.26984126984
2012-03-31,97441.33333333333,92536.87875910098
2012-04-30,115335.0,109529.91452991453
2012-05-31,115335.0,109842.85714285713
2012-06-30,115335.0,110157.59312320918
2012-07-31,129036.33333333333,123479.74481658691
2012-08-31,129036.33333333333,123954.2106948447
2012-09-30,129036.33333333333,123835.25271912989
2012-10-31,126410.33333333333,121315.09916826614
2012-11-30,126410.33333333333,121431.63624719821
2012-12-31,126410.33333333333,121198.78555449024
2013-01-31,101251.0,96798.2791586998
2013-02-28,101251.0,96890.90909090909
2013-03-31,101251.0,96890.90909090909
2013-04-30,118271.33333333333,113178.30940988836
2013-05-31,118271.33333333333,113070.10834926704
2013-06-30,118271.33333333333,113070.10834926704
2013-07-31,132666.66666666666,126953.74800637958
2013-08-31,132666.66666666666,127933.14046930245
2013-09-30,132666.66666666666,127933.14046930245
2013-10-31,136210.33333333334,130845.66122318286
2013-11-30,136210.33333333334,130594.75870885269
2013-12-31,136210.33333333334,129847.79154750556
2014-01-31,105635.0,100509.03901046624
2014-02-28,105635.0,99938.50520340586
2014-03-31,105635.0,97810.18518518518
2014-04-30,127463.66666666667,114214.75507765831
2014-05-31,127463.66666666667,110072.25100748417
2014-06-30,127463.66666666667,108943.30484330485
2014-07-31,146825.33333333334,124957.7304964539
2014-08-31,146825.33333333334,124007.88288288288
2014-09-30,146825.33333333334,120546.25068418172
2014-10-31,149047.66666666666,119429.22008547006
2014-11-30,149047.66666666666,117268.03042223971
2014-12-31,149047.66666666666,113863.76368729309
2015-01-31,125330.33333333333,92837.28395061727
2015-02-28,125330.33333333333,88136.66197843413
2015-03-31,125330.33333333333,79574.8148148148
2015-04-30,152238.33333333334,84765.21900519673
2015-05-31,152238.33333333334,82963.66939146232
2015-06-30,152238.33333333334,82603.5449448363
2015-07-31,188999.0,103617.87280701753
2015-08-31,188999.0,104477.05914870094
2015-09-30,188999.0,102106.42895732037
2015-10-31,196280.33333333334,107433.1326400292
2015-11-30,196280.33333333334,105300.60801144493
2015-12-31,196280.33333333334,104571.30172260702
2016-01-31,151766.0,80129.88384371699
2016-02-29,151766.0,80469.77730646872
2016-03-31,151766.0,79667.19160104987
2016-04-30,178567.0,90597.15880263827
2016-05-31,178567.0,90505.32184490624
2016-06-30,178567.0,90689.18232605384
2016-07-31,223818.66666666666,113728.99728997287
2016-08-31,223818.66666666666,114076.792388719
2016-09-30,223818.66666666666,112077.44950759472
2016-10-31,240970.66666666666,117374.8985224874
2016-11-30,240970.66666666666,115296.9696969697
2016-12-31,240970.66666666666,114258.25825825825
2017-01-31,197255.0,92521.10694183865
2017-02-28,197255.0,91618.67162099396
2017-03-31,197255.0,89988.59489051095
2017-04-30,221435.66666666666,100106.5400843882
2017-05-31,221435.66666666666,98855.20833333333
2017-06-30,221435.66666666666,97291.59343878149
2017-07-31,277880.0,121823.76150811049
2017-08-31,277880.0,121984.19666374012
2017-09-30,277880.0,119569.7074010327
2017-10-31,297171.6666666667,126348.49773242632
2017-11-30,297171.6666666667,125230.36943390925
2017-12-31,297171.6666666667,123976.49840077877
2018-01-31,235380.33333333334,96744.89656117276
2018-02-28,235380.33333333334,95877.93618465717
2018-03-31,235380.33333333334,94834.94493687886
2018-04-30,269979.3333333333,107905.40900612844
2018-05-31,269979.3333333333,107905.40900612844
2018-06-30,269979.3333333333,107905.40900612844
2018-07-31,331576.0,133484.70209339773
2018-08-31,331576.0,133484.70209339773
2018-09-30,331576.0,131005.92651126038
2018-10-31,349831.6666666667,135909.73840973843
2018-11-30,349831.6666666667,134035.12132822478
2018-12-31,349831.6666666667,132965.2856961865
2019-01-31,273335.3333333333,102873.66704303099
2019-02-28,273335.3333333333,102334.45650817419
2019-03-31,273335.3333333333,101423.12925170068
2019-04-30,310819.6666666667,114187.97452853296
2019-05-31,310819.6666666667,113396.4489845555
2019-06-30,310819.6666666667,113978.60897200833
2019-07-31,370654.0,136722.24271486534
2019-08-31,370654.0,137126.89604143542
2019-09-30,370654.0,136169.72814107276
2019-10-31,370923.6666666667,135324.21257448618
2019-11-30,370923.6666666667,135225.54380848218
2019-12-31,370923.6666666667,135472.48599951304
2020-01-31,286138.3333333333,104315.83424474418
2020-02-29,286138.3333333333,104620.96282754416
2020-03-31,286138.3333333333,103786.12017893845
2020-04-30,293307.0,105544.08060453401
2020-05-31,293307.0,105241.1194833154
2020-06-30,293307.0,105015.03759398495
2020-07-31,391037.6666666667,140863.71277617675
2020-08-31,391037.6666666667,141117.88764585587
2020-09-30,391037.6666666667,140458.9319923372
2020-10-31,436859.0,155355.26315789475
2020-11-30,436859.0,153337.66233766233
2020-12-31,436859.0,151950.95652173914
2021-01-31,339905.0,116725.61813186815
2021-02-28,339905.0,115574.63447806868
2021-03-31,339905.0,113642.59445001671
2021-04-30,394103.3333333333,130844.4001770695
2021-05-31,394103.3333333333,129171.8562220037
2021-06-30,394103.3333333333,128918.32951695562
2021-07-31,504294.6666666667,164802.17864923747
2021-08-31,504294.6666666667,165125.9550316525
2021-09-30,504294.6666666667,163149.35835220534
2021-10-31,578646.6666666666,185523.13775782837
2021-11-30,578646.6666666666,184047.9219677693
2021-12-31,578646.6666666666,183000.21083702298
